#   t [s]                T [GK]               rho [g/cm^3]         r [km]      Ye = 0.41 at T = 10 GK
#----------------------------------------------------------------------------------------------------
   1.00045151E-01       8.84650307E+00       2.65996709E+06       3.59718392E+01    0.41
   1.00054547E-01       8.84208128E+00       2.65587516E+06       3.59883195E+01    0.41
   1.00063942E-01       8.83766171E+00       2.65178963E+06       3.60048090E+01    0.41
   1.00073337E-01       8.83324434E+00       2.64771049E+06       3.60213075E+01    0.41
   1.00082731E-01       8.82882917E+00       2.64363773E+06       3.60378152E+01    0.41
   1.00092124E-01       8.82441622E+00       2.63957135E+06       3.60543320E+01    0.41
   1.00101516E-01       8.82000546E+00       2.63551132E+06       3.60708580E+01    0.41
   1.00110908E-01       8.81559691E+00       2.63145764E+06       3.60873931E+01    0.41
   1.00120299E-01       8.81119058E+00       2.62741030E+06       3.61039373E+01    0.41
   1.00129690E-01       8.80678644E+00       2.62336928E+06       3.61204907E+01    0.41
   1.00139080E-01       8.80238450E+00       2.61933459E+06       3.61370532E+01    0.41
   1.00148469E-01       8.79798476E+00       2.61530621E+06       3.61536249E+01    0.41
   1.00157858E-01       8.79358722E+00       2.61128412E+06       3.61702058E+01    0.41
   1.00167246E-01       8.78919187E+00       2.60726832E+06       3.61867958E+01    0.41
   1.00176633E-01       8.78479873E+00       2.60325880E+06       3.62033950E+01    0.41
   1.00186020E-01       8.78040778E+00       2.59925555E+06       3.62200034E+01    0.41
   1.00195406E-01       8.77601903E+00       2.59525856E+06       3.62366210E+01    0.41
   1.00204791E-01       8.77163247E+00       2.59126781E+06       3.62532478E+01    0.41
   1.00214176E-01       8.76724810E+00       2.58728331E+06       3.62698838E+01    0.41
   1.00223560E-01       8.76286593E+00       2.58330503E+06       3.62865289E+01    0.41
   1.00232944E-01       8.75848593E+00       2.57933297E+06       3.63031833E+01    0.41
   1.00242326E-01       8.75410813E+00       2.57536711E+06       3.63198469E+01    0.41
   1.00251709E-01       8.74973253E+00       2.57140746E+06       3.63365197E+01    0.41
   1.00261090E-01       8.74535910E+00       2.56745399E+06       3.63532017E+01    0.41
   1.00270471E-01       8.74098787E+00       2.56350670E+06       3.63698930E+01    0.41
   1.00279851E-01       8.73661882E+00       2.55956558E+06       3.63865935E+01    0.41
   1.00289231E-01       8.73225195E+00       2.55563062E+06       3.64033032E+01    0.41
   1.00298610E-01       8.72788727E+00       2.55170181E+06       3.64200222E+01    0.41
   1.00307988E-01       8.72352476E+00       2.54777913E+06       3.64367504E+01    0.41
   1.00317366E-01       8.71916445E+00       2.54386259E+06       3.64534879E+01    0.41
   1.00326743E-01       8.71480630E+00       2.53995216E+06       3.64702346E+01    0.41
   1.00336120E-01       8.71045034E+00       2.53604784E+06       3.64869906E+01    0.41
   1.00345496E-01       8.70609655E+00       2.53214963E+06       3.65037559E+01    0.41
   1.00354871E-01       8.70174494E+00       2.52825750E+06       3.65205304E+01    0.41
   1.00364246E-01       8.69739550E+00       2.52437145E+06       3.65373143E+01    0.41
   1.00373620E-01       8.69304825E+00       2.52049147E+06       3.65541074E+01    0.41
   1.00382993E-01       8.68870316E+00       2.51661755E+06       3.65709098E+01    0.41
   1.00392366E-01       8.68436024E+00       2.51274968E+06       3.65877215E+01    0.41
   1.00401738E-01       8.68001950E+00       2.50888785E+06       3.66045425E+01    0.41
   1.00411110E-01       8.67568092E+00       2.50503206E+06       3.66213728E+01    0.41
   1.00420481E-01       8.67134450E+00       2.50118228E+06       3.66382124E+01    0.41
   1.00429851E-01       8.66701027E+00       2.49733852E+06       3.66550614E+01    0.41
   1.00439221E-01       8.66267819E+00       2.49350076E+06       3.66719197E+01    0.41
   1.00448590E-01       8.65834828E+00       2.48966899E+06       3.66887872E+01    0.41
   1.00457958E-01       8.65402054E+00       2.48584321E+06       3.67056642E+01    0.41
   1.00467326E-01       8.64969495E+00       2.48202340E+06       3.67225504E+01    0.41
   1.00476694E-01       8.64537154E+00       2.47820955E+06       3.67394461E+01    0.41
   1.00486060E-01       8.64105028E+00       2.47440166E+06       3.67563510E+01    0.41
   1.00495427E-01       8.63673118E+00       2.47059971E+06       3.67732653E+01    0.41
   1.00504792E-01       8.63241424E+00       2.46680370E+06       3.67901890E+01    0.41
   1.00514157E-01       8.62809946E+00       2.46301361E+06       3.68071221E+01    0.41
   1.00523521E-01       8.62378684E+00       2.45922944E+06       3.68240645E+01    0.41
   1.00532885E-01       8.61947637E+00       2.45545118E+06       3.68410163E+01    0.41
   1.00542248E-01       8.61516806E+00       2.45167881E+06       3.68579774E+01    0.41
   1.00551611E-01       8.61086189E+00       2.44791233E+06       3.68749480E+01    0.41
   1.00560972E-01       8.60655789E+00       2.44415173E+06       3.68919279E+01    0.41
   1.00570334E-01       8.60225603E+00       2.44039700E+06       3.69089173E+01    0.41
   1.00579694E-01       8.59795631E+00       2.43664813E+06       3.69259160E+01    0.41
   1.00589055E-01       8.59365876E+00       2.43290511E+06       3.69429242E+01    0.41
   1.00598414E-01       8.58936335E+00       2.42916793E+06       3.69599418E+01    0.41
   1.00607773E-01       8.58507008E+00       2.42543658E+06       3.69769688E+01    0.41
   1.00617132E-01       8.58077896E+00       2.42171106E+06       3.69940052E+01    0.41
   1.00626489E-01       8.57649000E+00       2.41799134E+06       3.70110510E+01    0.41
   1.00635847E-01       8.57220317E+00       2.41427743E+06       3.70281063E+01    0.41
   1.00645203E-01       8.56791848E+00       2.41056932E+06       3.70451710E+01    0.41
   1.00654559E-01       8.56363593E+00       2.40686699E+06       3.70622452E+01    0.41
   1.00663915E-01       8.55935553E+00       2.40317043E+06       3.70793288E+01    0.41
   1.00673270E-01       8.55507726E+00       2.39947965E+06       3.70964219E+01    0.41
   1.00682624E-01       8.55080114E+00       2.39579462E+06       3.71135245E+01    0.41
   1.00691978E-01       8.54652715E+00       2.39211533E+06       3.71306365E+01    0.41
   1.00701331E-01       8.54225530E+00       2.38844179E+06       3.71477579E+01    0.41
   1.00710683E-01       8.53798558E+00       2.38477398E+06       3.71648889E+01    0.41
   1.00720035E-01       8.53371800E+00       2.38111188E+06       3.71820293E+01    0.41
   1.00729387E-01       8.52945255E+00       2.37745550E+06       3.71991793E+01    0.41
   1.00738738E-01       8.52518923E+00       2.37380482E+06       3.72163387E+01    0.41
   1.00748088E-01       8.52092805E+00       2.37015984E+06       3.72335076E+01    0.41
