# time[s], T9[GK], density[g/cm^3], R[km], Ye

6.2500e-03 5.6201e+00 3.5570e+07 6.4164e+02 0.18830
6.2844e-03 5.6126e+00 3.5428e+07 6.4250e+02 0.18830
6.3186e-03 5.6051e+00 3.5287e+07 6.4335e+02 0.18830
6.3527e-03 5.5977e+00 3.5147e+07 6.4420e+02 0.18830
6.3866e-03 5.5904e+00 3.5009e+07 6.4505e+02 0.18830
6.4214e-03 5.5828e+00 3.4868e+07 6.4591e+02 0.18830
6.4560e-03 5.5754e+00 3.4729e+07 6.4678e+02 0.18830
6.4904e-03 5.5680e+00 3.4590e+07 6.4764e+02 0.18830
6.5247e-03 5.5606e+00 3.4454e+07 6.4849e+02 0.18830
6.5589e-03 5.5533e+00 3.4318e+07 6.4935e+02 0.18831
6.5929e-03 5.5461e+00 3.4184e+07 6.5019e+02 0.18831
6.6267e-03 5.5389e+00 3.4051e+07 6.5104e+02 0.18831
6.6605e-03 5.5318e+00 3.3919e+07 6.5188e+02 0.18831
6.6941e-03 5.5247e+00 3.3789e+07 6.5272e+02 0.18831
6.7275e-03 5.5176e+00 3.3660e+07 6.5355e+02 0.18831
6.7608e-03 5.5106e+00 3.3531e+07 6.5438e+02 0.18831
6.7940e-03 5.5036e+00 3.3404e+07 6.5521e+02 0.18831
6.8271e-03 5.4967e+00 3.3279e+07 6.5604e+02 0.18831
6.8601e-03 5.4898e+00 3.3154e+07 6.5686e+02 0.18831
6.8929e-03 5.4830e+00 3.3030e+07 6.5768e+02 0.18831
6.9256e-03 5.4762e+00 3.2907e+07 6.5850e+02 0.18831
6.9582e-03 5.4694e+00 3.2786e+07 6.5931e+02 0.18831
6.9907e-03 5.4627e+00 3.2665e+07 6.6012e+02 0.18831
7.0275e-03 5.4551e+00 3.2529e+07 6.6104e+02 0.18831
7.0640e-03 5.4476e+00 3.2395e+07 6.6195e+02 0.18831
7.1003e-03 5.4402e+00 3.2262e+07 6.6285e+02 0.18832
7.1365e-03 5.4328e+00 3.2131e+07 6.6376e+02 0.18832
7.1725e-03 5.4254e+00 3.2001e+07 6.6466e+02 0.18832
7.2084e-03 5.4181e+00 3.1872e+07 6.6555e+02 0.18832
7.2442e-03 5.4109e+00 3.1744e+07 6.6644e+02 0.18832
7.2798e-03 5.4037e+00 3.1617e+07 6.6733e+02 0.18832
7.3153e-03 5.3965e+00 3.1492e+07 6.6822e+02 0.18832
7.3506e-03 5.3894e+00 3.1367e+07 6.6910e+02 0.18832
7.3859e-03 5.3823e+00 3.1244e+07 6.6998e+02 0.18832
7.4210e-03 5.3753e+00 3.1122e+07 6.7086e+02 0.18832
7.4560e-03 5.3683e+00 3.1001e+07 6.7173e+02 0.18832
7.4909e-03 5.3613e+00 3.0880e+07 6.7260e+02 0.18832
7.5257e-03 5.3544e+00 3.0761e+07 6.7347e+02 0.18832
7.5603e-03 5.3476e+00 3.0643e+07 6.7433e+02 0.18832
7.5949e-03 5.3407e+00 3.0526e+07 6.7519e+02 0.18832
7.6293e-03 5.3340e+00 3.0409e+07 6.7605e+02 0.18832
