# name   Z   N   A     Y(final)         Y(decay)         Y(seed)      
  sr90  38  52  90   0.00000E+00   0.00000E+00   0.00000E+00
  sr91  38  53  91   0.00000E+00   0.00000E+00   0.00000E+00
  sr92  38  54  92   0.00000E+00   0.00000E+00   0.00000E+00
  sr93  38  55  93   0.00000E+00   0.00000E+00   0.00000E+00
   y89  39  50  89   1.40366E-06   1.40366E-06   1.26875E-10
   y90  39  51  90   0.00000E+00   0.00000E+00   0.00000E+00
   y91  39  52  91   0.00000E+00   0.00000E+00   0.00000E+00
   y92  39  53  92   0.00000E+00   0.00000E+00   0.00000E+00
   y93  39  54  93   0.00000E+00   0.00000E+00   0.00000E+00
   y94  39  55  94   0.00000E+00   0.00000E+00   0.00000E+00
   y95  39  56  95   0.00000E+00   0.00000E+00   0.00000E+00
  zr90  40  50  90   1.95114E-06   1.95114E-06   1.53025E-10
  zr91  40  51  91   4.33078E-07   4.33078E-07   3.33710E-11
  zr92  40  52  92   8.20131E-07   8.20131E-07   5.10083E-11
  zr93  40  53  93   2.68751E-07   0.00000E+00   0.00000E+00
  zr94  40  54  94   1.09710E-06   1.09710E-06   5.16923E-11
  zr95  40  55  95   0.00000E+00   0.00000E+00   0.00000E+00
  zr96  40  56  96   0.00000E+00   0.00000E+00   8.32788E-12
  zr97  40  57  97   0.00000E+00   0.00000E+00   0.00000E+00
  zr98  40  58  98   0.00000E+00   0.00000E+00   0.00000E+00
  nb93  41  52  93   1.30327E-09   2.70054E-07   2.25619E-11
  nb94  41  53  94   1.75896E-15   0.00000E+00   0.00000E+00
  nb95  41  54  95   0.00000E+00   0.00000E+00   0.00000E+00
  nb96  41  55  96   0.00000E+00   0.00000E+00   0.00000E+00
  nb97  41  56  97   0.00000E+00   0.00000E+00   0.00000E+00
  nb98  41  57  98   0.00000E+00   0.00000E+00   0.00000E+00
  mo92  42  50  92   0.00000E+00   0.00000E+00   8.61971E-12
  mo93  42  51  93   0.00000E+00   0.00000E+00   0.00000E+00
  mo94  42  52  94   3.17892E-10   3.17894E-10   5.43056E-12
  mo95  42  53  95   1.03979E-07   1.03979E-07   9.39889E-12
  mo96  42  54  96   2.21929E-07   2.21929E-07   9.89382E-12
  mo97  42  55  97   8.60143E-08   8.60143E-08   5.69643E-12
  mo98  42  56  98   2.97113E-07   2.97113E-07   1.44746E-11
  mo99  42  57  99   0.00000E+00   0.00000E+00   0.00000E+00
 mo100  42  58 100   5.15769E-12   5.15769E-12   5.82995E-12
 mo101  42  59 101   0.00000E+00   0.00000E+00   0.00000E+00
 mo102  42  60 102   0.00000E+00   0.00000E+00   0.00000E+00
  tc97  43  54  97   0.00000E+00   0.00000E+00   0.00000E+00
  tc98  43  55  98   0.00000E+00   0.00000E+00   0.00000E+00
  tc99  43  56  99   4.10842E-08   0.00000E+00   0.00000E+00
 tc100  43  57 100   0.00000E+00   0.00000E+00   0.00000E+00
 tc101  43  58 101   0.00000E+00   0.00000E+00   0.00000E+00
 tc102  43  59 102   0.00000E+00   0.00000E+00   0.00000E+00
  ru96  44  52  96   0.00000E+00   0.00000E+00   2.43717E-12
  ru97  44  53  97   0.00000E+00   0.00000E+00   0.00000E+00
  ru98  44  54  98   0.00000E+00   0.00000E+00   8.22656E-13
  ru99  44  55  99   1.69132E-09   4.27755E-08   5.61341E-12
 ru100  44  56 100   1.50533E-07   1.50533E-07   5.54303E-12
 ru101  44  57 101   3.59796E-08   3.59796E-08   7.50508E-12
 ru102  44  58 102   1.86463E-07   1.86463E-07   1.38796E-11
 ru103  44  59 103   0.00000E+00   0.00000E+00   0.00000E+00
 ru104  44  60 104   8.42268E-13   8.42267E-13   8.19136E-12
 ru105  44  61 105   0.00000E+00   0.00000E+00   0.00000E+00
 ru106  44  62 106   0.00000E+00   0.00000E+00   0.00000E+00
 ru107  44  63 107   0.00000E+00   0.00000E+00   0.00000E+00
 ru108  44  64 108   0.00000E+00   0.00000E+00   0.00000E+00
 rh103  45  58 103   4.12480E-08   4.12480E-08   6.35882E-12
 rh104  45  59 104   0.00000E+00   0.00000E+00   0.00000E+00
 rh105  45  60 105   0.00000E+00   0.00000E+00   0.00000E+00
 rh106  45  61 106   0.00000E+00   0.00000E+00   0.00000E+00
 rh107  45  62 107   0.00000E+00   0.00000E+00   0.00000E+00
 rh108  45  63 108   0.00000E+00   0.00000E+00   0.00000E+00
 pd102  46  56 102   0.00000E+00   0.00000E+00   2.96467E-13
 pd103  46  57 103   0.00000E+00   0.00000E+00   0.00000E+00
 pd104  46  58 104   1.10071E-07   1.10071E-07   3.23789E-12
 pd105  46  59 105   2.95075E-08   2.95075E-08   6.49031E-12
 pd106  46  60 106   1.17663E-07   1.17663E-07   7.94358E-12
 pd107  46  61 107   2.72401E-08   0.00000E+00   0.00000E+00
 pd108  46  62 108   1.46833E-07   1.46833E-07   7.69071E-12
 pd109  46  63 109   0.00000E+00   0.00000E+00   0.00000E+00
 pd110  46  64 110   5.72666E-10   5.72665E-10   3.40647E-12
 pd111  46  65 111   0.00000E+00   0.00000E+00   0.00000E+00
 pd112  46  66 112   0.00000E+00   0.00000E+00   0.00000E+00
 pd113  46  67 113   0.00000E+00   0.00000E+00   0.00000E+00
 ag107  47  60 107   4.48153E-11   2.72849E-08   3.53210E-12
 ag108  47  61 108   0.00000E+00   0.00000E+00   0.00000E+00
 ag109  47  62 109   4.53125E-08   4.53125E-08   3.28150E-12
 ag110  47  63 110   0.00000E+00   0.00000E+00   0.00000E+00
 ag111  47  64 111   0.00000E+00   0.00000E+00   0.00000E+00
 ag112  47  65 112   0.00000E+00   0.00000E+00   0.00000E+00
 ag113  47  66 113   0.00000E+00   0.00000E+00   0.00000E+00
 ag114  47  67 114   0.00000E+00   0.00000E+00   0.00000E+00
 ag115  47  68 115   0.00000E+00   0.00000E+00   0.00000E+00
 cd106  48  58 106   0.00000E+00   0.00000E+00   5.01518E-13
 cd107  48  59 107   0.00000E+00   0.00000E+00   0.00000E+00
 cd108  48  60 108   1.62350E-11   1.62349E-11   3.57081E-13
 cd109  48  61 109   0.00000E+00   0.00000E+00   0.00000E+00
 cd110  48  62 110   1.20562E-07   1.20562E-07   5.01117E-12
 cd111  48  63 111   4.66610E-08   4.66610E-08   5.13554E-12
 cd112  48  64 112   1.46882E-07   1.46882E-07   9.68130E-12
 cd113  48  65 113   5.00863E-08   5.00863E-08   4.90284E-12
 cd114  48  66 114   2.12822E-07   2.12822E-07   1.15269E-11
 cd115  48  67 115   0.00000E+00   0.00000E+00   0.00000E+00
 cd116  48  68 116   7.46786E-11   7.46786E-11   3.00510E-12
 cd117  48  69 117   0.00000E+00   0.00000E+00   0.00000E+00
 cd118  48  70 118   0.00000E+00   0.00000E+00   0.00000E+00
 cd119  48  71 119   0.00000E+00   0.00000E+00   0.00000E+00
 in113  49  64 113   4.52130E-19   4.52130E-19   2.11755E-13
 in114  49  65 114   0.00000E+00   0.00000E+00   0.00000E+00
 in115  49  66 115   4.61354E-08   4.61354E-08   4.72426E-12
 in116  49  67 116   0.00000E+00   0.00000E+00   0.00000E+00
 in117  49  68 117   0.00000E+00   0.00000E+00   0.00000E+00
 in118  49  69 118   0.00000E+00   0.00000E+00   0.00000E+00
 in119  49  70 119   0.00000E+00   0.00000E+00   0.00000E+00
