# t [s]      T [GK]       rho[g/cm^3]   r [km]      Ye           Le [erg/s]  Lebar [erg/s] Te [MeV]  Tebar [MeV]
# Nr: 81314
4.640000e-01 7.759080e+00 7.644901e+07 6.539959e+02 1.829639e-01 4.1181e+52  5.1637e+52  2.9172e+00  4.2526e+00
4.650000e-01 7.531478e+00 7.197323e+07 6.852843e+02 1.838560e-01 4.1685e+52  5.2527e+52  2.9089e+00  4.2407e+00
4.660000e-01 7.342303e+00 6.846532e+07 7.168877e+02 1.848157e-01 4.1726e+52  5.4650e+52  2.9380e+00  4.2626e+00
4.670000e-01 7.154142e+00 6.480625e+07 7.488997e+02 1.854729e-01 4.1765e+52  5.5205e+52  2.9684e+00  4.2953e+00
4.680000e-01 6.951375e+00 6.142763e+07 7.811418e+02 1.852903e-01 3.9966e+52  5.3683e+52  2.9731e+00  4.2787e+00
4.690000e-01 6.896560e+00 5.815385e+07 8.134159e+02 1.877450e-01 3.8514e+52  5.2094e+52  2.9607e+00  4.2559e+00
4.700000e-01 6.783838e+00 5.593000e+07 8.455509e+02 1.884075e-01 3.8069e+52  5.1439e+52  2.9461e+00  4.2428e+00
4.710000e-01 6.628040e+00 5.429070e+07 8.776786e+02 1.885054e-01 3.8814e+52  5.1710e+52  2.9344e+00  4.2313e+00
4.720000e-01 6.491415e+00 5.164559e+07 9.097915e+02 1.889995e-01 4.0287e+52  5.2434e+52  2.9408e+00  4.2257e+00
4.730000e-01 6.295693e+00 5.061862e+07 9.417538e+02 1.883617e-01 4.1739e+52  5.4400e+52  2.9389e+00  4.2466e+00
4.740000e-01 6.167491e+00 4.923150e+07 9.735954e+02 1.884993e-01 4.4172e+52  5.7337e+52  2.9758e+00  4.2983e+00
4.750000e-01 6.191549e+00 4.761961e+07 1.005258e+03 1.892295e-01 4.4926e+52  5.8690e+52  2.9913e+00  4.3142e+00
4.760000e-01 6.165378e+00 4.680856e+07 1.036890e+03 1.891568e-01 4.4663e+52  5.9493e+52  2.9982e+00  4.2960e+00
4.770000e-01 6.108103e+00 4.505868e+07 1.068326e+03 1.894505e-01 4.5355e+52  6.0514e+52  3.0266e+00  4.2903e+00
4.780000e-01 6.042069e+00 4.339352e+07 1.099430e+03 1.896239e-01 4.6303e+52  6.2843e+52  3.0372e+00  4.3146e+00
4.790000e-01 5.966890e+00 4.240156e+07 1.130208e+03 1.893582e-01 4.6530e+52  6.4367e+52  3.0522e+00  4.3368e+00
4.800000e-01 5.895745e+00 4.171834e+07 1.160778e+03 1.888218e-01 4.6085e+52  6.3911e+52  3.0519e+00  4.3319e+00
4.810000e-01 5.865291e+00 4.105085e+07 1.191283e+03 1.886070e-01 4.6984e+52  6.4510e+52  3.0565e+00  4.3458e+00
4.820000e-01 5.854378e+00 4.023461e+07 1.221714e+03 1.888510e-01 4.8427e+52  6.5750e+52  3.0774e+00  4.3759e+00
4.830000e-01 5.850496e+00 3.940881e+07 1.252017e+03 1.890965e-01 4.8524e+52  6.5102e+52  3.0722e+00  4.3757e+00
4.840000e-01 5.846174e+00 3.851827e+07 1.282108e+03 1.893547e-01 4.9451e+52  6.7429e+52  3.0833e+00  4.3802e+00
4.850000e-01 5.863194e+00 3.765376e+07 1.311965e+03 1.895777e-01 5.0495e+52  6.8934e+52  3.0875e+00  4.4065e+00
4.860000e-01 5.833988e+00 3.675738e+07 1.341560e+03 1.896649e-01 5.1513e+52  7.0693e+52  3.1091e+00  4.4244e+00
4.870000e-01 5.841794e+00 3.618850e+07 1.370851e+03 1.896887e-01 5.2268e+52  7.4275e+52  3.1338e+00  4.4434e+00
4.880000e-01 5.876510e+00 3.578230e+07 1.399769e+03 1.895926e-01 5.2668e+52  7.5009e+52  3.1231e+00  4.4524e+00
4.890000e-01 5.873219e+00 3.543474e+07 1.428434e+03 1.893623e-01 5.1544e+52  7.5648e+52  3.1096e+00  4.4629e+00
